,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Xique-Xique,32,BR,1554773314,98,-10.82,-42.73,71.62,2.77
376,Souillac,20,FR,1554773251,93,45.6,-0.6,45.0,1.12
377,Karpogory,24,RU,1554773316,91,64.0,44.44,30.22,6.4
378,Jian,64,IN,1554773318,97,25.65,87.89,66.76,8.81
379,Indianola,20,US,1554772584,37,40.24,-100.42,66.2,9.17
380,Biak,8,ID,1554773320,97,-0.91,122.88,80.8,3.04
381,Rangapara,36,IN,1554773321,86,26.82,92.69,55.33,1.77
382,Ilorin,56,NG,1554773323,86,8.5,4.55,77.83,8.93
383,Hadrut,0,AZ,1554773324,94,39.52,47.03,39.4,2.04
384,Goderich,8,CA,1554773322,91,43.74,-81.71,50.0,4.0
385,Kromy,0,RU,1554773327,82,52.69,35.77,41.29,9.86
386,Oksfjord,44,NO,1554771000,67,70.24,22.35,21.2,2.24
387,Kruisfontein,100,ZA,1554773329,84,-34.0,24.73,61.99,2.77
388,Mount Isa,0,AU,1554769800,39,-20.73,139.49,82.4,12.75
389,Klichka,8,RU,1554773332,34,50.44,118.0,32.56,7.63
390,Timbuktu,0,ML,1554773333,28,16.77,-3.01,66.94,3.6
391,Tautira,20,PF,1554772344,58,-17.73,-149.15,87.8,6.93
392,Imeni Poliny Osipenko,8,RU,1554773335,66,52.42,136.49,38.14,6.02
393,Lewisporte,20,CA,1554772582,67,49.25,-55.06,21.2,16.11
394,Bambanglipuro,0,ID,1554773071,98,-7.95,110.28,74.95,4.0
395,San Isidro,44,PH,1554773340,79,16.74,121.63,77.29,3.71
396,Alvorada,0,BR,1554773292,93,-30.0,-51.08,66.2,3.36
397,Moose Factory,90,CA,1554771600,79,51.26,-80.61,28.4,14.99
398,Ciudad Bolivar,0,VE,1554773128,30,8.12,-63.55,88.81,10.42
399,Esperance,20,TT,1554772808,78,10.24,-61.45,77.0,3.36
400,Yeppoon,40,AU,1554771600,45,-23.13,150.74,82.4,8.05
401,Talnakh,88,RU,1554773349,91,69.49,88.39,16.09,6.91
402,Umea,80,SE,1554771000,63,63.83,20.26,30.2,18.34
403,Riachao das Neves,12,BR,1554773351,91,-11.75,-44.91,71.98,2.71
404,Birao,44,CF,1554773353,44,10.3,22.78,77.74,4.23
405,Piltene,90,LV,1554771000,87,57.23,21.67,33.8,13.87
406,Saint-Pierre,90,FR,1554773343,93,48.95,4.24,48.99,3.36
407,Kununurra,90,AU,1554771600,66,-15.77,128.74,86.0,16.11
408,Berdigestyakh,24,RU,1554773358,78,62.1,126.7,30.94,6.85
409,Plettenberg Bay,68,ZA,1554773078,96,-34.05,23.37,65.95,1.7
410,Genhe,20,CN,1554773361,53,50.78,121.52,30.76,4.05
411,Rocha,0,UY,1554773076,87,-34.48,-54.34,57.76,4.9
412,Sioux Lookout,90,CA,1554772800,92,50.1,-91.92,28.4,8.05
413,Saint-Augustin,90,FR,1554773251,93,44.83,-0.61,45.0,2.24
414,Novopavlovka,8,RU,1554773366,56,51.21,109.22,24.37,3.22
415,Rawson,76,AR,1554773367,38,-43.3,-65.11,71.89,9.64
416,Slobidka,80,UA,1554772849,86,48.42,26.77,50.0,7.4
417,Iranshahr,0,IR,1554768000,38,27.21,60.69,73.4,4.05
418,Tilichiki,0,RU,1554773371,87,60.47,166.1,22.66,4.23
419,Altar,0,MX,1554773117,15,30.72,-111.84,91.0,3.0
420,Roald,20,NO,1554773104,74,62.58,6.12,35.6,14.99
421,Oistins,40,BB,1554771600,73,13.07,-59.53,77.0,14.99
422,Kasongo-Lunda,20,CD,1554773376,95,-6.48,16.82,71.08,2.21
423,Bavly,68,RU,1554773377,74,54.4,53.24,29.86,5.06
424,Teguise,0,ES,1554771600,77,29.06,-13.56,62.6,5.82
425,San Pedro Carcha,92,GT,1554773380,100,15.48,-90.31,67.48,1.32
426,Rio Muerto,5,MX,1554770460,28,27.42,-110.23,86.0,10.29
427,Kerman,0,IR,1554771600,86,30.29,57.06,41.0,3.04
428,Southbridge,90,US,1554773370,100,42.08,-72.03,42.01,4.7
429,Kajiado,40,KE,1554771600,88,-1.85,36.79,66.2,6.93
430,Belaya Gora,68,RU,1554773387,97,68.54,146.19,21.58,3.83
431,Auki,8,NG,1554773388,54,12.18,6.51,81.97,9.04
432,Termoli,80,IT,1554772518,90,42.0,14.99,48.99,1.01
433,Alamogordo,1,US,1554773225,8,32.9,-105.96,82.4,3.78
434,Santiago,0,CL,1554773192,67,-33.44,-70.65,72.0,9.17
435,Clinton,90,US,1554773117,93,30.87,-91.02,69.01,12.75
436,Minden,90,US,1554773193,81,38.95,-119.77,70.0,8.05
437,Lugovoy,0,RU,1554773398,89,59.72,65.88,29.86,8.14
438,Pringsewu,76,ID,1554773399,94,-5.36,104.98,73.96,2.59
439,Tuy Hoa,12,VN,1554773195,100,13.08,109.3,74.32,4.83
440,Birin,24,SY,1554773402,76,35.01,36.67,43.48,2.84
441,Golden,75,CA,1554768000,22,51.3,-116.96,55.4,1.36
442,Plastun,0,RU,1554773405,48,44.76,136.29,43.48,6.64
443,San Angelo,1,US,1554773110,38,31.46,-100.44,80.01,8.05
444,Grand Baie,75,MU,1554773338,78,-20.02,57.58,80.6,10.29
445,Ucluelet,90,CA,1554773225,93,48.94,-125.55,48.99,4.7
446,Saldanha,92,PT,1554773411,98,41.42,-6.55,43.75,11.34
447,Axim,24,GH,1554773412,100,4.87,-2.24,81.55,10.78
448,Gabriel Leyva Solano,5,MX,1554773117,47,25.66,-108.64,82.0,14.99
449,Kuhdasht,0,IR,1554771180,100,33.53,47.61,44.6,2.24
450,Mandalgovi,76,MN,1554773416,73,45.76,106.27,37.36,9.1
451,Lebu,75,ET,1554768000,72,8.96,38.73,60.8,2.24
452,Olinda,75,EC,1554772644,69,-2.03,-79.75,82.99,9.17
453,Najran,40,SA,1554771600,57,17.54,44.22,75.2,2.39
454,Acajutla,44,SV,1554773365,59,13.59,-89.83,82.96,3.83
455,Burns Lake,20,CA,1554773422,48,54.23,-125.76,39.88,3.06
456,Senanga,76,ZM,1554773424,97,-16.1,23.3,63.19,5.23
457,Jos,64,NG,1554773154,82,9.92,8.9,73.42,7.81
458,Port Macquarie,0,AU,1554773405,23,-31.43,152.91,91.0,19.46
459,Kudahuvadhoo,36,MV,1554773427,100,2.67,72.89,81.01,1.61
460,Gairatganj,0,IN,1554773429,37,23.42,78.24,81.64,5.12
461,Vasteras,68,SE,1554773429,65,59.62,16.55,33.01,11.41
462,Ixtapa,5,MX,1554773410,73,20.71,-105.21,77.0,9.17
463,Ewa Beach,20,US,1554773348,58,21.32,-158.01,82.4,10.29
464,Margate,20,AU,1554773420,95,-43.03,147.26,55.99,14.99
465,Atambua,0,ID,1554773436,92,-9.11,124.89,84.34,4.07
466,Rajula,0,IN,1554773437,79,21.04,71.44,75.43,2.33
467,Torbay,75,CA,1554773423,73,47.66,-52.73,28.0,21.92
468,Muros,75,ES,1554773297,93,42.77,-9.06,54.0,11.41
469,Carballo,0,ES,1554773417,93,43.21,-8.69,53.01,5.82
470,Hovd,0,NO,1554773415,86,63.83,10.7,36.0,1.12
471,Inhambane,0,MZ,1554773444,100,-23.87,35.38,72.1,4.07
472,Poya,12,NC,1554773445,96,-21.35,165.16,78.58,17.49
473,Balkanabat,8,TM,1554773446,92,39.51,54.36,48.43,2.51
474,Namwala,68,ZM,1554773447,88,-15.75,26.45,65.98,3.0
475,Hami,0,CN,1554773449,44,42.84,93.51,50.86,5.86
476,Sibiti,56,CG,1554773450,91,-3.69,13.35,75.07,3.51
477,Aklavik,90,CA,1554771600,65,68.22,-135.01,6.8,6.93
478,Turayf,0,SA,1554771600,67,31.68,38.65,60.8,4.7
479,Khonsa,36,IN,1554773454,77,26.99,95.51,69.31,1.54
480,Berlevag,76,NO,1554773455,100,70.86,29.09,25.93,7.43
481,Aswan,0,EG,1554771600,30,24.09,32.9,80.6,4.7
482,Kulhudhuffushi,8,MV,1554773458,100,6.62,73.07,82.18,2.73
483,Cody,20,US,1554773449,65,44.53,-109.06,53.6,12.75
484,Coquimbo,90,CL,1554771600,82,-29.95,-71.34,59.0,6.93
485,Maxixe,0,MZ,1554773461,100,-23.86,35.35,72.1,4.07
486,Baijiantan,0,CN,1554773463,50,45.63,85.18,48.25,5.86
487,Omboue,44,GA,1554773464,100,-1.57,9.26,83.26,4.56
488,Huarmey,88,PE,1554773465,65,-10.07,-78.15,68.41,3.29
489,Ati,0,TD,1554773467,46,13.21,18.34,74.26,2.73
490,Tura,92,IN,1554773468,95,25.52,90.21,68.41,4.41
491,Elizabeth City,90,US,1554773404,88,36.3,-76.22,68.0,12.75
492,Nuuk,0,GL,1554771000,45,64.17,-51.74,42.8,14.99
493,Nokaneng,0,BW,1554773472,89,-19.66,22.19,64.54,3.0
494,Pathein,0,MM,1554773473,59,16.78,94.73,89.74,7.43
495,Kanigoro,8,ID,1554773474,100,-8.13,112.22,82.09,4.29
496,Satao,92,PT,1554773102,93,40.74,-7.73,52.0,8.01
497,Tongchuan,75,CN,1554771600,72,34.9,108.95,59.0,8.95
498,Chico,90,US,1554773447,77,39.73,-121.84,71.01,16.11
499,Caraquet,90,CA,1554773159,62,47.79,-64.94,24.8,9.17
500,Bilma,0,NE,1554773481,14,18.69,12.92,73.36,12.95
501,Altamont,75,CA,1554773416,100,49.4,-98.5,41.0,5.82
502,Padang,20,ID,1554771600,78,-0.92,100.36,82.4,2.24
503,Ouesso,20,CG,1554773485,94,1.61,16.05,73.81,2.1
504,Adra,24,IN,1554773487,85,23.5,86.68,75.61,4.56
505,Kisangani,12,CD,1554773488,100,0.52,25.21,71.38,2.51
506,Muravlenko,48,RU,1554773489,98,63.79,74.5,32.86,21.68
507,Brae,36,GB,1554771000,95,60.4,-1.35,41.0,16.11
508,Moss Vale,0,AU,1554773349,29,-34.55,150.37,78.01,17.22
509,Tskaltubo,0,GE,1554771600,93,42.33,42.6,48.2,4.7
510,Sola,90,FI,1554773226,86,62.78,29.36,35.01,17.22
511,Killarney,36,AU,1554773405,57,-28.34,152.3,73.99,5.99
512,Matara,12,PE,1554773497,96,-13.74,-72.9,39.25,0.31
513,Rudnichnyy,0,RU,1554773498,83,59.7,60.29,29.8,2.33
514,Poum,92,MK,1554773500,100,41.28,20.71,38.8,2.1
515,Bumba,36,CD,1554773501,100,2.18,22.47,71.47,2.21
516,Shar,92,NG,1554773502,99,7.3,8.73,73.72,7.31
517,Caconda,8,AO,1554773504,95,-13.73,15.06,56.08,2.89
518,Frontera,75,MX,1554770580,69,18.53,-92.64,80.6,8.05
519,Litovko,0,RU,1554773506,47,49.24,135.18,49.78,3.4
520,Ginda,0,IN,1554771600,93,30.69,78.49,59.0,3.36
521,Parrita,40,CR,1554773490,88,9.52,-84.33,73.4,5.82
522,Thinadhoo,48,MV,1554773510,100,0.53,72.93,83.98,2.1
523,Hervey Bay,40,AU,1554772517,48,-25.3,152.85,88.0,4.7
524,Maldonado,0,UY,1554771600,93,-34.91,-54.96,59.0,3.36
525,Palivere,88,EE,1554773404,91,58.97,23.89,35.01,11.99
526,Karera,0,IN,1554773515,56,25.46,78.13,77.23,4.0
527,Victoria,75,BN,1554771600,74,5.28,115.24,87.8,4.7
528,Buarcos,75,PT,1554773506,81,40.16,-8.88,54.0,10.29
529,Bucium,8,RO,1554773519,85,46.26,23.18,39.61,2.06
530,Sambava,68,MG,1554773520,100,-14.27,50.17,79.48,14.29
531,Nova Olimpia,64,BR,1554773522,76,-14.8,-57.29,76.96,5.35
532,Alihe,12,CN,1554773523,21,50.57,123.73,46.54,6.02
533,Beringovskiy,64,RU,1554773524,93,63.05,179.32,11.71,22.41
534,Valparaiso,1,US,1554773493,45,41.47,-87.06,68.0,9.17
535,Bafilo,0,TG,1554768000,54,9.35,1.24,84.2,6.93
536,Pau Brasil,32,BR,1554773528,93,-15.46,-39.65,72.1,3.33
537,Shenjiamen,100,CN,1554773400,92,29.96,122.3,63.16,19.44
538,Salym,0,RU,1554773531,90,60.06,71.48,36.46,7.87
539,Amazar,0,RU,1554773532,27,53.86,120.88,39.61,3.33
540,Roura,90,GF,1554771600,74,4.73,-52.33,80.6,9.17
541,El Tigre,32,VE,1554773389,28,8.89,-64.25,86.29,10.65
542,Doha,0,QA,1554771600,56,25.29,51.53,73.4,3.56
543,Marawi,64,PH,1554773456,86,8.0,124.29,82.0,5.01
544,Lalibela,32,ET,1554773538,92,12.04,39.05,49.33,2.06
545,Payo,80,ID,1554773540,100,-3.75,103.64,78.31,3.0
546,Wismar,0,DE,1554773536,100,53.89,11.46,37.99,8.05
